Sun Nov 16 22:59:38 2025    profile_python.prof

         5726277 function calls (5724126 primitive calls) in 9.959 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      256    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1546(__eq__)
      224    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:168(__getitem__)
        1    0.000    0.000    0.004    0.004 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_dtype_like.py:1(<module>)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      106    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       18    0.000    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1704(_array_str_implementation)
        9    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1030(_generic_class_getitem)
      122    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1563(__init__)
     11/9    0.000    0.000    1.156    0.128 <frozen importlib._bootstrap_external>:1286(create_module)
        6    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/numeric.py:2739(extend_all)
      233    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:240(__next)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:1(<module>)
    33/13    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:178(getwidth)
       13    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:383(__setitem__)
        1    0.000    0.000    9.959    9.959 mcsim_psl.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      296    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      119    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.179    0.179 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_methods.py:1(<module>)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      106    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/__init__.py:164(match)
       36    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        5    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:249(__set_name__)
        8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:511(_compile_info)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1452(_path_hooks)
        1    0.000    0.000    0.014    0.014 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:1(<module>)
     14/8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:452(_parse_sub)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_nanfunctions_impl.py:1(<module>)
       95    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       21    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      171    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:261(get)
       50    0.000    0.000    0.005    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:500(__getitem__)
        1    0.000    0.000    0.002    0.002 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_polynomial_impl.py:1(<module>)
      184    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1274(<genexpr>)
        1    0.000    0.000    0.001    0.001 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        8    0.000    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:740(compile)
       26    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/umath.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2819(__new__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:1(<module>)
      126    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1576(_value_and_type_iter)
      109    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/__init__.py:17(set_module)
       15    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:772(__delattr__)
       36    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:26(_fr1)
