Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.82     0.00   100000     0.00     0.00  std::uniform_int_distribution<int>::param_type::a() const
  0.00      6.82     0.00    50000     0.00     0.00  random_integer(int, int)
  0.00      6.82     0.00    50000     0.00     0.00  accept_or_reject(double, double)
  0.00      6.82     0.00    50000     0.00     0.00  std::uniform_int_distribution<int>::param_type::b() const
  0.00      6.82     0.00    50000     0.00     0.00  std::uniform_int_distribution<int>::param_type::param_type(int, int)
  0.00      6.82     0.00    50000     0.00     0.00  std::uniform_int_distribution<int>::uniform_int_distribution(int, int)
  0.00      6.82     0.00    50000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      6.82     0.00    50000     0.00     0.00  int std::uniform_int_distribution<int>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_int_distribution<int>::param_type const&)
  0.00      6.82     0.00     1611     0.00     0.00  std::array<double, 3ul> const& std::forward<std::array<double, 3ul> const&>(std::remove_reference<std::array<double, 3ul> const&>::type&)
  0.00      6.82     0.00     1013     0.00     0.00  operator new(unsigned long, void*)
  0.00      6.82     0.00      800     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::push_back(std::array<double, 3ul> const&)
  0.00      6.82     0.00      239     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >* std::__addressof<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&)
  0.00      6.82     0.00      157     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      6.82     0.00      128     0.00     0.00  std::remove_reference<std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&>::type&& std::move<std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&>(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&)
  0.00      6.82     0.00      126     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&& std::forward<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >(std::remove_reference<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > >::type&)
  0.00      6.82     0.00      107     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const& std::forward<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const&>(std::remove_reference<std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > > const&>::type&)
  0.00      6.82     0.00      107     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      6.82     0.00       64     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl::_Vector_impl(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl&&)
  0.00      6.82     0.00       64     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl_data&&)
  0.00      6.82     0.00       64     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_base(std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&&)
  0.00      6.82     0.00       64     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::vector(std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >&&)
